trip_id,timestamp_s,accel_long_g,accel_lat_g,accel_lat_smooth_g
20151111123124-25km-D1-NORMAL-MOTORWAY,100.080000,0.001000,0.000000,0.056000
20151111123124-25km-D1-NORMAL-MOTORWAY,100.180000,-0.071000,-0.032000,0.039000
20151111123124-25km-D1-NORMAL-MOTORWAY,100.270000,-0.001000,-0.036000,0.034000
20151111123124-25km-D1-NORMAL-MOTORWAY,100.370000,-0.034000,-0.018000,0.033000
20151111123124-25km-D1-NORMAL-MOTORWAY,100.470000,-0.069000,-0.045000,0.020000
20151111123124-25km-D1-NORMAL-MOTORWAY,100.570000,-0.002000,-0.024000,0.029000
20151111123124-25km-D1-NORMAL-MOTORWAY,100.670000,0.084000,0.015000,0.032000
20151111123124-25km-D1-NORMAL-MOTORWAY,100.770000,-0.072000,0.002000,0.006000
20151111123124-25km-D1-NORMAL-MOTORWAY,100.870000,-0.068000,-0.051000,-0.014000
20151111123124-25km-D1-NORMAL-MOTORWAY,100.970000,-0.002000,-0.024000,0.001000
20151111123124-25km-D1-NORMAL-MOTORWAY,101.080000,-0.027000,-0.031000,-0.011000
20151111123124-25km-D1-NORMAL-MOTORWAY,101.170000,0.010000,-0.004000,-0.000000
20151111123124-25km-D1-NORMAL-MOTORWAY,101.290000,-0.001000,-0.009000,0.007000
20151111123124-25km-D1-NORMAL-MOTORWAY,101.380000,-0.003000,-0.004000,-0.020000
20151111123124-25km-D1-NORMAL-MOTORWAY,101.470000,-0.018000,-0.010000,-0.036000
20151111123124-25km-D1-NORMAL-MOTORWAY,101.570000,0.015000,0.001000,-0.034000
20151111123124-25km-D1-NORMAL-MOTORWAY,101.680000,-0.011000,-0.004000,-0.033000
20151111123124-25km-D1-NORMAL-MOTORWAY,101.780000,0.021000,-0.001000,-0.036000
20151111123124-25km-D1-NORMAL-MOTORWAY,101.880000,0.076000,0.047000,-0.037000
20151111123124-25km-D1-NORMAL-MOTORWAY,101.980000,-0.041000,0.022000,-0.045000
20151111123124-25km-D1-NORMAL-MOTORWAY,102.080000,0.022000,-0.008000,-0.050000
20151111123124-25km-D1-NORMAL-MOTORWAY,102.180000,-0.069000,-0.013000,-0.048000
20151111123124-25km-D1-NORMAL-MOTORWAY,102.290000,-0.021000,-0.038000,-0.051000
20151111123124-25km-D1-NORMAL-MOTORWAY,102.380000,-0.009000,-0.012000,-0.051000
20151111123124-25km-D1-NORMAL-MOTORWAY,102.480000,0.042000,0.004000,-0.041000
20151111123124-25km-D1-NORMAL-MOTORWAY,102.580000,-0.010000,0.018000,-0.041000
20151111123124-25km-D1-NORMAL-MOTORWAY,102.680000,-0.072000,-0.038000,-0.038000
20151111123124-25km-D1-NORMAL-MOTORWAY,102.780000,-0.042000,-0.042000,-0.048000
20151111123124-25km-D1-NORMAL-MOTORWAY,102.880000,0.019000,-0.016000,-0.052000
20151111123124-25km-D1-NORMAL-MOTORWAY,102.980000,-0.089000,-0.037000,-0.027000
20151111123124-25km-D1-NORMAL-MOTORWAY,103.090000,0.006000,-0.046000,-0.028000
20151111123124-25km-D1-NORMAL-MOTORWAY,103.180000,0.038000,0.014000,-0.043000
20151111123124-25km-D1-NORMAL-MOTORWAY,103.280000,-0.005000,0.005000,-0.035000
20151111123124-25km-D1-NORMAL-MOTORWAY,103.380000,-0.007000,0.005000,-0.022000
20151111123124-25km-D1-NORMAL-MOTORWAY,103.490000,-0.035000,-0.013000,-0.018000
20151111123124-25km-D1-NORMAL-MOTORWAY,103.590000,-0.051000,-0.047000,-0.011000
20151111123124-25km-D1-NORMAL-MOTORWAY,103.690000,0.028000,-0.007000,0.009000
20151111123124-25km-D1-NORMAL-MOTORWAY,103.790000,-0.023000,0.003000,0.007000
20151111123124-25km-D1-NORMAL-MOTORWAY,103.880000,0.008000,-0.014000,0.007000
