trip_id,timestamp_s,accel_long_g,accel_lat_g,accel_lat_smooth_g
20151111125233-24km-D1-AGGRESSIVE-MOTORWAY,200.04,-0.059,-0.027,0.008
20151111125233-24km-D1-AGGRESSIVE-MOTORWAY,200.14,-0.041,-0.039,0.009
20151111125233-24km-D1-AGGRESSIVE-MOTORWAY,200.24,-0.052,-0.044,-0.012
20151111125233-24km-D1-AGGRESSIVE-MOTORWAY,200.34,-0.032,-0.047,-0.0
20151111125233-24km-D1-AGGRESSIVE-MOTORWAY,200.44,0.043,-0.013,0.016
20151111125233-24km-D1-AGGRESSIVE-MOTORWAY,200.54,0.004,0.017,0.009
20151111125233-24km-D1-AGGRESSIVE-MOTORWAY,200.64,-0.048,-0.018,0.014
20151111125233-24km-D1-AGGRESSIVE-MOTORWAY,200.75,0.012,-0.007,0.02
20151111125233-24km-D1-AGGRESSIVE-MOTORWAY,200.85,0.035,0.008,0.011
20151111125233-24km-D1-AGGRESSIVE-MOTORWAY,200.94,-0.019,0.005,0.009
20151111125233-24km-D1-AGGRESSIVE-MOTORWAY,201.04,-0.017,-0.004,0.016
20151111125233-24km-D1-AGGRESSIVE-MOTORWAY,201.15,-0.049,-0.029,0.017
20151111125233-24km-D1-AGGRESSIVE-MOTORWAY,201.24,-0.034,-0.038,0.021
20151111125233-24km-D1-AGGRESSIVE-MOTORWAY,201.35,-0.001,-0.018,0.002
20151111125233-24km-D1-AGGRESSIVE-MOTORWAY,201.45,-0.021,-0.015,-0.001
20151111125233-24km-D1-AGGRESSIVE-MOTORWAY,201.54,-0.003,-0.013,-0.009
20151111125233-24km-D1-AGGRESSIVE-MOTORWAY,201.64,-0.058,-0.027,-0.012
20151111125233-24km-D1-AGGRESSIVE-MOTORWAY,201.74,-0.03,-0.046,-0.004
20151111125233-24km-D1-AGGRESSIVE-MOTORWAY,201.84,-0.02,-0.028,-0.005
20151111125233-24km-D1-AGGRESSIVE-MOTORWAY,201.94,-0.012,-0.019,-0.004
20151111125233-24km-D1-AGGRESSIVE-MOTORWAY,202.04,-0.024,-0.019,0.001
20151111125233-24km-D1-AGGRESSIVE-MOTORWAY,202.14,-0.047,-0.028,-0.002
20151111125233-24km-D1-AGGRESSIVE-MOTORWAY,202.24,-0.063,-0.046,0.004
20151111125233-24km-D1-AGGRESSIVE-MOTORWAY,202.35,-0.025,-0.045,-0.006
20151111125233-24km-D1-AGGRESSIVE-MOTORWAY,202.44,0.0,-0.015,-0.002
20151111125233-24km-D1-AGGRESSIVE-MOTORWAY,202.55,0.017,0.001,-0.012
20151111125233-24km-D1-AGGRESSIVE-MOTORWAY,202.64,-0.02,-0.003,-0.022
20151111125233-24km-D1-AGGRESSIVE-MOTORWAY,202.74,-0.061,-0.034,-0.003
20151111125233-24km-D1-AGGRESSIVE-MOTORWAY,202.84,-0.008,-0.039,-0.011
20151111125233-24km-D1-AGGRESSIVE-MOTORWAY,202.95,0.018,-0.002,-0.018
20151111125233-24km-D1-AGGRESSIVE-MOTORWAY,203.05,0.0,0.004,-0.009
20151111125233-24km-D1-AGGRESSIVE-MOTORWAY,203.15,-0.018,0.0,-0.024
20151111125233-24km-D1-AGGRESSIVE-MOTORWAY,203.25,-0.001,-0.011,-0.038
20151111125233-24km-D1-AGGRESSIVE-MOTORWAY,203.35,-0.006,-0.006,-0.051
20151111125233-24km-D1-AGGRESSIVE-MOTORWAY,203.45,0.015,-0.001,-0.044
20151111125233-24km-D1-AGGRESSIVE-MOTORWAY,203.56,-0.025,0.002,-0.037
20151111125233-24km-D1-AGGRESSIVE-MOTORWAY,203.65,-0.037,-0.032,-0.038
20151111125233-24km-D1-AGGRESSIVE-MOTORWAY,203.76,0.016,-0.008,-0.031
20151111125233-24km-D1-AGGRESSIVE-MOTORWAY,203.85,0.069,0.025,-0.014
20151111125233-24km-D1-AGGRESSIVE-MOTORWAY,203.95,-0.007,0.029,-0.026
20151111125233-24km-D1-AGGRESSIVE-MOTORWAY,204.05,-0.087,-0.026,-0.032
